guid,title,price,price_label,km,first_registration,year_raw,fuel_code,fuel,gear,power_raw,power_kw,power_hp,condition,seller_type_raw,seller_type,leads_range,zip_code,is_sport,body_type,make,model,seller_name,location,url,scraped_at,year,lat,lon,place_name
45c4d7eb-eaeb-4202-89d0-2f2e23ac8761,Toyota Corolla TS Teamplayer+cam+gps+sens V+A,29950,fair-price,17903,03-2025,03/2025,2,Electrique/Essence,,103 kW (140 Ch),103.0,140.0,,d,Professionnel,zero,8900,False,"Break / Touring (probable, 'TS')",toyota,corolla,Toyota Vancayzeele Ieper,BE-8900 Ieper,,2026-08-25T01:24:51.261033,2025,50.8511,2.8857,Ieper
d35384be-4f2e-4e73-8f97-c4ec34856d98,Toyota Corolla 2.0 Hyb TS Style + tech pack,33995,somewhat-expensive,20285,01-2025,01/2025,2,Electrique/Essence,,112 kW (152 Ch),112.0,152.0,,d,Professionnel,zero,9990,False,"Break / Touring (probable, 'TS')",toyota,corolla,Toyota Lievens Brugge - Maldegem - Oostende,BE-9990 Maldegem,,2026-08-25T01:24:51.324239,2025,51.2074,3.4451,Maldegem
03e51c5b-4f22-4121-a49d-42be599ab8b2,Toyota Corolla TS Premium+cam+gps+sens V+A,31950,fair-price,15000,03-2025,03/2025,2,Electrique/Essence,,103 kW (140 Ch),103.0,140.0,,d,Professionnel,zero,8900,False,"Break / Touring (probable, 'TS')",toyota,corolla,Toyota Vancayzeele Ieper,BE-8900 Ieper,,2026-08-25T01:24:51.388210,2025,50.8511,2.8857,Ieper
6ebdc231-d7ab-406a-bf33-bdb434d85f6a,Toyota Corolla GR Sport,33990,unknown,40000,03-2024,03/2024,2,Electrique/Essence,,72 kW (98 Ch),72.0,98.0,,d,Professionnel,zero,6700,True,Berline / 5 portes (non détecté comme break),toyota,corolla,AutoScout24 Luxembourg,BE-6700 Arlon,,2026-08-25T01:24:51.455167,2024,49.6833,5.8167,Arlon
f619a094-42f0-47ea-a604-d3fc58c0d5ec,Toyota Corolla 140hp HEV TS Premium | head up | all seasons,33990,somewhat-expensive,36467,03-2025,03/2025,2,Electrique/Essence,,72 kW (98 Ch),72.0,98.0,,d,Professionnel,zero,1200,False,"Break / Touring (probable, 'TS')",toyota,corolla,Toyota City Approved Used Woluwe,BE-1200 Woluwe-Saint-Lambert,,2026-08-25T01:24:51.510801,2025,50.8439,4.4291,Woluwe-Saint-Lambert
283ee473-5c96-4e54-9566-d825724bc721,Toyota Corolla 1.8 Hyb STYLE + TECH PACK,32995,fair-price,7043,06-2024,06/2024,2,Electrique/Essence,,72 kW (98 Ch),72.0,98.0,,d,Professionnel,zero,9990,False,Berline / 5 portes (non détecté comme break),toyota,corolla,Toyota Lievens Brugge - Maldegem - Oostende,BE-9990 Maldegem,,2026-08-25T01:24:51.564569,2024,51.2074,3.4451,Maldegem
3fbbaefd-4bc6-45aa-8b21-6a32b2b1a563,Toyota Corolla TS Teamplayer+cam+gps+sens V+A,29950,fair-price,16655,03-2025,03/2025,2,Electrique/Essence,,103 kW (140 Ch),103.0,140.0,,d,Professionnel,zero,8800,False,"Break / Touring (probable, 'TS')",toyota,corolla,Toyota Vancayzeele Roeselare,BE-8800 Roeselare,,2026-08-25T01:24:51.618296,2025,50.9325,3.1672,Rumbeke
9c47c8f1-cc0b-42f7-a9e9-e6fbd78b3d4c,Toyota Corolla Corolla SW Hybrid 1.8 Style GPF e-CVT,18700,good-price,86444,11-2021,11/2021,2,Electrique/Essence,,72 kW (98 Ch),72.0,98.0,,p,Inconnu (p),many,1851,False,Break / Touring (détecté),toyota,corolla,Particulier,BE-1851 Grimbergen,,2026-08-25T01:24:51.674371,2021,50.968,4.3796,Humbeek
f7ea250c-54ba-48f4-9604-8a7fc452975f,Toyota Corolla 1.8 Hyb TS STYLE +TECH PACK,31750,somewhat-expensive,16995,02-2024,02/2024,2,Electrique/Essence,,103 kW (140 Ch),103.0,140.0,,d,Professionnel,zero,9990,False,"Break / Touring (probable, 'TS')",toyota,corolla,Toyota Lievens Brugge - Maldegem - Oostende,BE-9990 Maldegem,,2026-08-25T01:24:51.726404,2024,51.2074,3.4451,Maldegem
589b2221-d4ec-4920-8b10-62add143404a,Toyota Corolla Style + Winter + Tech Pack,31950,good-price,10,06-2026,06/2026,2,Electrique/Essence,,103 kW (140 Ch),103.0,140.0,,d,Professionnel,zero,9190,False,Berline / 5 portes (non détecté comme break),toyota,corolla,Toyota Garage Pieters - P2cars,BE-9190 Stekene,,2026-08-25T01:24:51.778117,2026,51.2099,4.0365,Stekene
cd9c5c40-636d-47c0-bfcf-c76f1978e066,Toyota Corolla TS Teamplayer+cam+gps+sens V+A,29950,fair-price,18616,04-2025,04/2025,2,Electrique/Essence,,103 kW (140 Ch),103.0,140.0,,d,Professionnel,zero,8800,False,"Break / Touring (probable, 'TS')",toyota,corolla,Toyota Vancayzeele Roeselare,BE-8800 Roeselare,,2026-08-25T01:24:51.828866,2025,50.9325,3.1672,Rumbeke
fb920a40-1444-4f62-b142-e4f646c7bbcd,Toyota Corolla TS Teamplayer+cam+gps+sens V+A,29950,fair-price,15250,03-2025,03/2025,2,Electrique/Essence,,103 kW (140 Ch),103.0,140.0,,d,Professionnel,zero,8900,False,"Break / Touring (probable, 'TS')",toyota,corolla,Toyota Vancayzeele Ieper,BE-8900 Ieper,,2026-08-25T01:24:51.885883,2025,50.8511,2.8857,Ieper
412df099-f439-42b1-b58f-77b19ba9cb9e,Toyota Corolla 140hp HEV TS GR Sport BiTone | carplay | camera,34990,somewhat-expensive,23433,03-2025,03/2025,2,Electrique/Essence,,72 kW (98 Ch),72.0,98.0,,d,Professionnel,zero,1200,True,"Break / Touring (probable, 'TS')",toyota,corolla,Toyota City Approved Used Woluwe,BE-1200 Woluwe-Saint-Lambert,,2026-08-25T01:24:51.945484,2025,50.8439,4.4291,Woluwe-Saint-Lambert
6c9cdbfa-1070-46f8-9208-1223af5ba7dc,Toyota Corolla TS Teamplayer+cam+gps+sens V+A,29950,fair-price,16813,03-2025,03/2025,2,Electrique/Essence,,103 kW (140 Ch),103.0,140.0,,d,Professionnel,zero,8900,False,"Break / Touring (probable, 'TS')",toyota,corolla,Toyota Vancayzeele Ieper,BE-8900 Ieper,,2026-08-25T01:24:52.006819,2025,50.8511,2.8857,Ieper
0cd61333-284a-4694-b26d-4321a992f077,Toyota Corolla TS Teamplayer+cam+gps+sens V+A,29950,fair-price,15963,03-2025,03/2025,2,Electrique/Essence,,103 kW (140 Ch),103.0,140.0,,d,Professionnel,zero,8900,False,"Break / Touring (probable, 'TS')",toyota,corolla,Toyota Vancayzeele Ieper,BE-8900 Ieper,,2026-08-25T01:24:52.066868,2025,50.8511,2.8857,Ieper
38e05d3e-0715-49cc-b2da-4ad03374d751,Toyota Corolla TS Teamplayer+cam+gps+sens V+A,29950,fair-price,19803,03-2025,03/2025,2,Electrique/Essence,,103 kW (140 Ch),103.0,140.0,,d,Professionnel,zero,8900,False,"Break / Touring (probable, 'TS')",toyota,corolla,Toyota Vancayzeele Ieper,BE-8900 Ieper,,2026-08-25T01:24:52.119202,2025,50.8511,2.8857,Ieper
1f81336c-0b17-4fd9-b020-9f2b05276e40,Toyota Corolla TS Teamplayer+cam+gps+sens V+A,29950,fair-price,18339,04-2025,04/2025,2,Electrique/Essence,,103 kW (140 Ch),103.0,140.0,,d,Professionnel,zero,8900,False,"Break / Touring (probable, 'TS')",toyota,corolla,Toyota Vancayzeele Ieper,BE-8900 Ieper,,2026-08-25T01:24:52.174568,2025,50.8511,2.8857,Ieper
c567ed87-a8dd-40cc-b6f1-2291921eea9f,Toyota Corolla TS+Style+tech pack+cam+nav+sen,33900,good-price,10000,06-2025,06/2025,2,Electrique/Essence,,103 kW (140 Ch),103.0,140.0,,d,Professionnel,zero,8900,False,"Break / Touring (probable, 'TS')",toyota,corolla,Toyota Vancayzeele Ieper,BE-8900 Ieper,,2026-08-25T01:24:52.226107,2025,50.8511,2.8857,Ieper
c1dede16-e8c3-4bff-8bfc-064f2627de93,Toyota Corolla 1.8 Hybrid Style e-CVT GPF,33500,somewhat-expensive,120,09-2023,09/2023,b,Essence,,72 kW (98 Ch),72.0,98.0,,d,Professionnel,zero,3740,False,Berline / 5 portes (non détecté comme break),toyota,corolla,Garage Rorox bvba,BE-3740 Bilzen,,2026-08-25T01:24:52.276684,2023,50.8664,5.5443,Waltwilder
0fcf2762-9e24-4b21-8888-ed1f7dc93217,Toyota Corolla 1.8 Hyb Style + Tech Pack,31995,somewhat-expensive,6915,01-2024,01/2024,2,Electrique/Essence,,72 kW (98 Ch),72.0,98.0,,d,Professionnel,some,9990,False,Berline / 5 portes (non détecté comme break),toyota,corolla,Toyota Lievens Brugge - Maldegem - Oostende,BE-9990 Maldegem,,2026-08-25T01:24:59.335074,2024,51.2074,3.4451,Maldegem
510eebe9-89d0-43b0-8686-a475ba11d376,Toyota Corolla 1.8 Hyb Style CVT,33490,fair-price,2913,03-2024,03/2024,2,Electrique/Essence,,72 kW (98 Ch),72.0,98.0,,d,Professionnel,zero,9990,False,Berline / 5 portes (non détecté comme break),toyota,corolla,Toyota Lievens Brugge - Maldegem - Oostende,BE-9990 Maldegem,,2026-08-25T01:24:59.385866,2024,51.2074,3.4451,Maldegem
87f2397e-3ef5-42d1-8571-10ef05e2e921,Toyota Corolla 1.8 Hyb TS Style + Tech Pack,32995,fair-price,10995,03-2024,03/2024,2,Electrique/Essence,,72 kW (98 Ch),72.0,98.0,,d,Professionnel,zero,9990,False,"Break / Touring (probable, 'TS')",toyota,corolla,Toyota Lievens Brugge - Maldegem - Oostende,BE-9990 Maldegem,,2026-08-25T01:24:59.437094,2024,51.2074,3.4451,Maldegem
fd3e0536-c6ed-4e53-88d3-6b2a9067f322,Toyota Corolla TS Dynamic+Businesspack+cam+na,35100,fair-price,10000,05-2026,05/2026,2,Electrique/Essence,,103 kW (140 Ch),103.0,140.0,,d,Professionnel,zero,8900,False,"Break / Touring (probable, 'TS')",toyota,corolla,Toyota Vancayzeele Ieper,BE-8900 Ieper,,2026-08-25T01:24:59.494516,2026,50.8511,2.8857,Ieper
1e5f0fa5-e43f-4987-b55f-ec9632f3ec1f,Toyota Corolla Style - Garantie,33990,fair-price,20,04-2026,04/2026,2,Electrique/Essence,,72 kW (98 Ch),72.0,98.0,,d,Professionnel,zero,9050,False,Berline / 5 portes (non détecté comme break),toyota,corolla,CIAC Toyota Gent,BE-9050 Ledeberg,,2026-08-25T01:24:59.551992,2026,51.0369,3.7651,Gentbrugge
9a20001b-fa73-4dcb-8818-0f756c19e0a3,Toyota Corolla GR Sport,37900,somewhat-expensive,9948,06-2025,06/2025,2,Electrique/Essence,,72 kW (98 Ch),72.0,98.0,,d,Professionnel,zero,9870,True,Berline / 5 portes (non détecté comme break),toyota,corolla,Toyota Certified - De Prins,BE-9870 Zulte,,2026-08-25T01:24:59.612553,2025,50.9597,3.4905,Machelen
95bc8c9b-d1d3-4a2e-be15-bf69e209ebee,Toyota Corolla 1.8 Hybrid Comfort,18000,good-price,98155,05-2023,05/2023,2,Electrique/Essence,,90 kW (122 Ch),90.0,122.0,,p,Inconnu (p),many,8500,False,Berline / 5 portes (non détecté comme break),toyota,corolla,Particulier,BE-8500 Courtrai,,2026-08-25T01:24:59.671677,2023,50.828,3.2649,Kortrijk
35aba3e7-5fcf-4a47-a02c-e80f3b11af99,Toyota Corolla Style - Garantie,33990,fair-price,20,04-2026,04/2026,2,Electrique/Essence,,72 kW (98 Ch),72.0,98.0,,d,Professionnel,zero,9050,False,Berline / 5 portes (non détecté comme break),toyota,corolla,CIAC Toyota Gent,BE-9050 Ledeberg,,2026-08-25T01:24:59.724132,2026,51.0369,3.7651,Gentbrugge
8713fc4f-7674-4b86-8f8b-94caa337cafa,Toyota Corolla 1.8 Hybride Style,35900,somewhat-expensive,18285,10-2024,10/2024,2,Electrique/Essence,,72 kW (98 Ch),72.0,98.0,,d,Professionnel,zero,3130,False,Berline / 5 portes (non détecté comme break),toyota,corolla,Garage Wouters Begijnendijk nv,BE-3130 Begijnendijk,,2026-08-25T01:24:59.775521,2024,50.9868,4.7819,Betekom
6b03a360-544e-4b10-9a44-49b251c10abd,Toyota Corolla Touring Sports 1.8 Hybrid CVT Style de Direction a,35995,expensive,15838,11-2025,11/2025,2,Electrique/Essence,,72 kW (98 Ch),72.0,98.0,,d,Professionnel,zero,5570,False,Break / Touring (détecté),toyota,corolla,Auto W.E.B. Beauraing - Toyota,BE-5570 Beauraing,,2026-08-25T01:24:59.827452,2025,50.1178,4.889,Dion
698839d6-0147-4111-8262-1092116b3510,Toyota Corolla Style - Garantie,33990,fair-price,20,04-2026,04/2026,2,Electrique/Essence,,72 kW (98 Ch),72.0,98.0,,d,Professionnel,zero,9050,False,Berline / 5 portes (non détecté comme break),toyota,corolla,CIAC Toyota Gent,BE-9050 Ledeberg,,2026-08-25T01:24:59.882242,2026,51.0369,3.7651,Gentbrugge
